name,price,mileage,engine,mpg,ext_color,int_color,transmission,rwd,condition,year
Certified 2023 Ferrari F8 Spider,"499,900",401,3.9L 8-Cylinder Turbo Gas Engine,15 City / 18 Highway ,Rosso Dino Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2023
Certified 2019 Ferrari Portofino,"221,900","13,036",3.9L 8-Cylinder Turbo Gas Engine,16 City / 22 Highway ,Rosso Corsa Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019
Used 2009 Ferrari F430 Scuderia,"429,900","1,220",4.3L 8-Cylinder Gas Engine,11 City / 16 Highway ,Red Exterior,Black Leather Seats,6-Speed Automatic Transmission,yes,Used,2009
Certified 2021 Ferrari F8 Tributo,"394,990","1,522",3.9L 8-Cylinder Turbo Gas Engine,15 City / 19 Highway ,Black Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2021
Used 2006 Ferrari F430 Spider,"137,995","14,035",4.3L 8-Cylinder Gas Engine,11 City / 16 Highway ,Argento Nurburgring Exterior,Black Leather Seats,Automatic Transmission,yes,Used,2006
Used 2018 Ferrari 488 Spider,"314,488","8,146",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Rosso Corsa Exterior,Cuoio Leather W/Rosso Stitchin Leather Seats,7-Speed Automatic Transmission,yes,Used,2018
Certified 2017 Ferrari 488 Spider,"299,990","9,126",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2017
Used 2018 Ferrari 488 GTB,"279,950","2,655",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Bianco Avus W/ Stealth Ppf Exterior,Nero & Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Used,2018
Certified 2017 Ferrari 488 Spider,"329,900","2,673",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Red Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2017
Used 2012 Ferrari 458 Italia Coupe,"178,500","23,919",4.5L 8-Cylinder Gas Engine,12 City / 18 Highway ,Yellow Exterior,Yellow Leather Seats,7-Speed Automatic Transmission,yes,Used,2012
Used 2019 Ferrari 812 Superfast,"388,388","9,123",6.5L 12-Cylinder Gas Engine,12 City / 16 Highway ,Red Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2019
Used 2022 Ferrari SF90 Stradale,"629,990","1,495",Hybrid: Gas/Electric ,16 City / 20 Highway ,Est. 2.5hr Charging TimeSee Details,Rosso Corsa Exterior,Nero Leather Seats,no,Used,2022
Used 2006 Ferrari F430 Coupe,"109,995","32,698",4.3L 8-Cylinder Gas Engine,11 City / 16 Highway ,Red Exterior,Tan Leather Seats,Automatic Transmission,yes,Used,2006
Used 2016 Ferrari 488 GTB,"224,996","21,945",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Rosso Mugello Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2016
Certified 2018 Ferrari 812 Superfast,"340,000","28,698",6.5L 12-Cylinder Gas Engine,12 City / 16 Highway ,Rosso Corsa Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018
Used 2021 Ferrari Roma,"264,995","2,543",3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Crema Leather Seats,8-Speed Automatic Transmission,2 wheel drive - rear,yes,Used,2021
Used 2002 Ferrari 360 Spider,"124,995","6,740",3.6L 8-Cylinder Gas Engine,10 City / 15 Highway ,Giallo Modena Exterior,6-Speed Automatic Transmission,2 wheel drive - rear,yes,Used,2002
Certified 2022 Ferrari F8 Tributo,"399,900",859,3.9L 8-Cylinder Turbo Gas Engine,15 City / 19 Highway ,Bianco Avus Exterior,Crema Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022
Certified 2023 Ferrari Roma,"279,999",251,3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Rosso Corsa Exterior,Nero Leather Seats,8-Speed Automatic Transmission,yes,Certified,2023
Certified 2018 Ferrari GTC4Lusso,"254,988","16,674",6.3L 12-Cylinder Gas Engine,12 City / 17 Highway ,Grigio Silverstone Metallic Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018
Used 2022 Ferrari F8 Spider,"487,998","2,700",3.9L 8-Cylinder Turbo Gas Engine,15 City / 18 Highway ,Black Exterior,Black With Red Stitching Leather Seats,7-Speed Automatic Transmission,yes,Used,2022
Used 2021 Ferrari Roma,"262,900","1,205",3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Grigio Exterior,Beige Tradizione Leather Seats,8-Speed Automatic Transmission,yes,Used,2021
Certified 2013 Ferrari 458 Spider,"259,900","8,337",4.5L 8-Cylinder Gas Engine,13 City / 17 Highway ,White Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2013
Used 2019 Ferrari Portofino,"209,500","6,634",3.9L 8-Cylinder Turbo Gas Engine,16 City / 22 Highway ,Black Exterior,Red Leather Seats,7-Speed Automatic Transmission,yes,Used,2019
Certified 2022 Ferrari F8 Spider,"479,272","3,452",3.9L 8-Cylinder Turbo Gas Engine,15 City / 18 Highway ,Bianco Avus Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022
Used 2022 Ferrari SF90 Stradale,"659,900","1,469",Hybrid: Gas/Electric ,16 City / 20 Highway ,Est. 2.5hr Charging TimeSee Details,Rosso Corsa Exterior,Nero Leather Seats,no,Used,2022
Used 2022 Ferrari F8 Spider,"489,800","1,865",3.9L 8-Cylinder Turbo Gas Engine,15 City / 18 Highway ,Rosso Corsa Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2022
Certified 2018 Ferrari 488 GTB,"277,895","3,940",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Nero Ds 1250 Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018
Used 2014 Ferrari California,"128,895","11,067",4.3L 8-Cylinder Gas Engine,14 City / 19 Highway ,Bianco Avus Exterior,Rosso Leather Seats,7-Speed Automatic Transmission,yes,Used,2014
